Rank,Exam_Score,Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Tutoring_Sessions,Teacher_Quality
1,101,27,98,Yes,6,5,High
2,100,18,89,Yes,4,3,Medium
3,99,23,83,Yes,4,1,Medium
3,99,14,90,Yes,8,4,Medium
5,98,28,90,Yes,9,0,Medium
5,98,28,96,Yes,4,1,High
5,98,16,83,Yes,8,2,High
8,97,25,99,Yes,7,0,High
8,97,15,83,No,7,2,High
8,97,21,74,No,6,1,High
11,96,18,93,No,7,2,Medium
12,95,21,67,Yes,6,1,Medium
12,95,18,90,Yes,6,1,High
14,94,24,96,No,6,2,Medium
14,94,29,76,No,8,2,Medium
14,94,19,90,Yes,5,0,Medium
14,94,25,98,Yes,7,1,Low
18,93,26,69,No,7,0,Medium
18,93,25,73,Yes,7,2,Medium
20,92,31,69,No,7,2,Low
20,92,1,88,Yes,4,3,Medium
22,91,21,70,No,9,1,Low
23,89,19,70,No,7,0,Medium
23,89,14,77,No,6,1,High
23,89,21,92,Yes,9,2,Medium
26,88,30,98,Yes,9,1,Low
26,88,18,86,No,8,2,High
26,88,11,62,Yes,7,3,Medium
29,87,7,69,Yes,8,1,High
29,87,11,71,Yes,8,1,Medium
31,86,17,77,Yes,5,2,Medium
31,86,27,90,No,9,2,High
31,86,7,63,Yes,10,0,Medium
31,86,16,76,Yes,6,0,Medium
35,85,24,70,Yes,9,1,Medium
36,84,22,71,Yes,9,1,High
36,84,24,77,Yes,7,3,High
36,84,25,66,Yes,7,4,Medium
39,83,22,70,No,7,1,Medium
40,82,9,61,Yes,6,1,Medium
40,82,14,75,Yes,5,0,Medium
40,82,18,87,No,8,1,High
40,82,16,71,Yes,6,1,High
44,80,20,65,Yes,7,0,Medium
44,80,22,75,Yes,5,2,Medium
44,80,10,76,No,6,1,High
44,80,21,74,Yes,8,3,Low
44,80,18,61,Yes,6,3,High
49,79,16,82,No,7,0,High
49,79,35,99,Yes,7,2,High
49,79,39,97,Yes,10,2,Medium
52,78,43,86,Yes,7,2,High
52,78,19,68,Yes,5,0,Medium
52,78,39,90,No,8,2,High
52,78,33,92,Yes,7,6,Medium
56,77,29,99,Yes,8,5,Low
56,77,39,95,Yes,9,2,Medium
56,77,35,77,Yes,8,5,Medium
56,77,30,98,Yes,7,1,Medium
56,77,34,93,Yes,6,2,High
61,76,26,100,Yes,6,0,High
61,76,29,96,No,8,3,Medium
61,76,31,100,No,7,2,High
61,76,35,93,Yes,6,5,Medium
61,76,29,100,Yes,8,2,Medium
61,76,37,94,Yes,8,1,Medium
61,76,32,97,Yes,5,1,High
61,76,27,97,No,8,6,Medium
61,76,29,93,No,7,3,High
61,76,30,98,Yes,8,1,High
61,76,37,96,Yes,7,0,High
61,76,30,97,No,5,0,Medium
61,76,32,98,No,5,2,Low
61,76,29,94,No,7,6,High
61,76,28,99,No,5,6,Medium
61,76,32,95,Yes,7,5,Medium
77,75,24,100,Yes,6,2,Medium
77,75,31,86,Yes,6,3,Medium
77,75,28,89,Yes,10,3,Low
77,75,25,99,Yes,6,0,Medium
77,75,32,93,Yes,8,1,High
77,75,28,94,Yes,7,3,High
77,75,31,95,Yes,5,2,Medium
77,75,31,96,Yes,8,3,Medium
77,75,28,98,Yes,7,2,High
77,75,26,99,Yes,4,2,Low
77,75,34,98,No,7,1,Medium
77,75,33,89,No,8,2,High
77,75,30,91,Yes,7,3,Medium
77,75,28,91,No,7,2,Medium
77,75,30,100,Yes,7,2,Medium
77,75,26,100,Yes,6,1,High
77,75,32,95,Yes,9,2,Medium
77,75,39,92,No,9,1,Medium
77,75,25,97,Yes,7,3,Medium
77,75,36,96,No,7,1,High
77,75,25,99,No,7,3,Medium
77,75,25,99,Yes,7,3,Medium
77,75,34,96,Yes,5,1,High
77,75,29,92,Yes,4,1,High
77,75,35,94,Yes,7,1,High
77,75,25,93,Yes,5,2,Medium
77,75,22,97,Yes,5,7,High
77,75,18,97,Yes,7,5,Medium
77,75,27,86,Yes,8,5,High
77,75,33,93,Yes,6,0,Medium
77,75,32,97,Yes,8,0,Medium
77,75,24,98,No,8,6,High
77,75,34,92,No,7,0,High
77,75,29,98,Yes,5,3,Medium
77,75,32,91,Yes,4,3,High
77,75,30,91,Yes,7,1,High
77,75,28,99,Yes,6,3,Medium
77,75,31,96,Yes,4,3,Medium
77,75,33,93,No,7,1,High
77,75,38,98,No,6,2,Low
77,75,30,100,No,6,0,Medium
77,75,34,99,Yes,8,0,High
77,75,29,96,Yes,8,0,Medium
77,75,32,94,Yes,9,4,Medium
77,75,34,82,Yes,9,3,Medium
77,75,37,96,No,7,2,Medium
77,75,31,91,Yes,7,2,High
77,75,29,97,Yes,9,2,Medium
125,74,25,92,No,4,3,Medium
125,74,30,99,Yes,5,2,Medium
125,74,19,98,Yes,8,1,Medium
125,74,21,90,Yes,7,2,High
125,74,21,99,Yes,7,3,Medium
125,74,32,87,Yes,9,2,Low
125,74,27,92,Yes,5,0,High
125,74,27,98,No,4,0,Medium
125,74,31,93,No,6,3,Medium
125,74,29,96,No,8,2,High
125,74,27,95,Yes,6,2,Medium
125,74,27,100,Yes,4,4,High
125,74,32,90,Yes,5,0,High
125,74,30,97,Yes,6,1,High
125,74,27,92,Yes,6,4,Low
125,74,22,100,No,7,2,Medium
125,74,25,95,Yes,8,1,Medium
125,74,31,95,No,5,1,Medium
125,74,29,93,No,5,2,Medium
125,74,36,90,Yes,5,1,High
